indicator,ldv_total,ldv_total_bike share 0.47263520008
"('ReCiPe Midpoint (H) V1.13', 'agricultural land occupation', 'ALOP')",180055477127.67673,467337435149.27075
"('ReCiPe Midpoint (H) V1.13', 'climate change', 'GWP100')",4163192698143.7925,2467813661294.9907
"('ReCiPe Midpoint (H) V1.13', 'fossil depletion', 'FDP')",1420808451471.0693,813620213270.6409
"('ReCiPe Midpoint (H) V1.13', 'freshwater ecotoxicity', 'FETPinf')",276921402497.6455,174910944371.49603
"('ReCiPe Midpoint (H) V1.13', 'freshwater eutrophication', 'FEP')",579238791.9153267,451684323.4554052
"('ReCiPe Midpoint (H) V1.13', 'human toxicity', 'HTPinf')",1147501944017.5374,804258576315.3877
"('ReCiPe Midpoint (H) V1.13', 'ionising radiation', 'IRP_HE')",370277504446.5749,214987975979.3141
"('ReCiPe Midpoint (H) V1.13', 'marine ecotoxicity', 'METPinf')",249532228055.59293,156556841911.60965
"('ReCiPe Midpoint (H) V1.13', 'marine eutrophication', 'MEP')",570588485.5660498,1433594178.690208
"('ReCiPe Midpoint (H) V1.13', 'metal depletion', 'MDP')",925255279348.9232,540461664597.0181
"('ReCiPe Midpoint (H) V1.13', 'natural land transformation', 'NLTP')",-334600386.64433575,-205991948.9476509
"('ReCiPe Midpoint (H) V1.13', 'ozone depletion', 'ODPinf')",727197.3174511819,401301.84143147536
"('ReCiPe Midpoint (H) V1.13', 'particulate matter formation', 'PMFP')",4950922954.603987,3295463518.930753
"('ReCiPe Midpoint (H) V1.13', 'photochemical oxidant formation', 'POFP')",9880628947.173326,6202519017.124089
"('ReCiPe Midpoint (H) V1.13', 'terrestrial acidification', 'TAP100')",12758928997.549826,8891317387.543657
"('ReCiPe Midpoint (H) V1.13', 'terrestrial ecotoxicity', 'TETPinf')",640793460.7942414,2573560455.025304
"('ReCiPe Midpoint (H) V1.13', 'urban land occupation', 'ULOP')",127639952332.5094,80527368650.97565
"('ReCiPe Midpoint (H) V1.13', 'water depletion', 'WDP')",20280742367.685955,48774924134.00769
